longdeonda,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54
380,0.58195,0.54168,0.55126,0.52831,0.52315,0.51962,0.51991,0.51716,0.52044,0.53146,0.52663,0.52491,0.53884,0.55083,0.54327,0.52889,0.53092,0.5429,0.54075,0.54051,0.51607,0.48764,0.50687,0.51426,0.51624,0.51806,0.51764,0.52278,0.52309,0.56958,0.56372,0.56497,0.51991,0.52426,0.53188,0.53561,0.53958,0.5408,0.45138,0.44426,0.44985,0.44864,0.44584,0.44126,0.46866,0.468,0.47123,0.4487,0.47457,0.46127,0.45462,0.45382,0.45555
381,0.57947,0.53573,0.54468,0.5232,0.51775,0.51351,0.5123,0.51067,0.51299,0.52439,0.51993,0.51808,0.53232,0.5436,0.53629,0.52236,0.52425,0.53632,0.53518,0.53488,0.51044,0.48199,0.50143,0.5079,0.51031,0.51236,0.51157,0.51711,0.51629,0.56423,0.55825,0.55931,0.5126,0.51822,0.52496,0.52973,0.53344,0.53378,0.44533,0.43931,0.44412,0.4436,0.4392,0.43476,0.46213,0.46082,0.46537,0.44207,0.46907,0.45595,0.4485,0.44789,0.44926
382,0.58094,0.53041,0.54147,0.51808,0.51223,0.50691,0.50683,0.50356,0.50718,0.518,0.51336,0.51175,0.52608,0.53807,0.53024,0.51585,0.5182,0.52982,0.52823,0.52858,0.50403,0.47604,0.49553,0.5007,0.50436,0.50551,0.50511,0.51053,0.51073,0.55692,0.55151,0.55292,0.50721,0.51152,0.51876,0.52342,0.52704,0.52807,0.44,0.43466,0.43834,0.43839,0.43503,0.42887,0.45675,0.45517,0.46052,0.4363,0.46317,0.45043,0.44213,0.44079,0.44364
383,0.58149,0.52396,0.5368,0.51325,0.50535,0.50046,0.49977,0.49848,0.4988,0.50998,0.50671,0.50457,0.51876,0.53078,0.52248,0.50943,0.51107,0.52234,0.52335,0.52151,0.49803,0.47063,0.48921,0.49415,0.49752,0.50053,0.49875,0.50568,0.50432,0.55079,0.54624,0.54687,0.50036,0.50597,0.51202,0.51745,0.52042,0.52016,0.43351,0.42924,0.43271,0.43263,0.42808,0.42409,0.4503,0.44936,0.45414,0.42996,0.45742,0.44424,0.43712,0.4359,0.43818
384,0.54493,0.51918,0.52356,0.50126,0.49931,0.49549,0.4952,0.49256,0.49893,0.50776,0.50438,0.50014,0.51482,0.5267,0.51916,0.50444,0.50682,0.51895,0.51932,0.51922,0.49418,0.4647,0.48539,0.49025,0.49211,0.49613,0.49548,0.50121,0.50036,0.54727,0.542,0.54295,0.49761,0.50176,0.50905,0.51432,0.51687,0.51909,0.43055,0.42599,0.43027,0.4302,0.42689,0.42087,0.44625,0.44591,0.44955,0.42796,0.4545,0.44091,0.43353,0.4323,0.43445
385,0.51875,0.51323,0.51342,0.49082,0.4932,0.48996,0.48943,0.48702,0.49714,0.50432,0.5003,0.49588,0.50963,0.52136,0.5147,0.49943,0.50146,0.51373,0.51491,0.51458,0.49012,0.45918,0.48041,0.4849,0.48708,0.49123,0.49015,0.49657,0.49577,0.54221,0.53728,0.53821,0.49257,0.49691,0.5042,0.50989,0.51333,0.5154,0.42611,0.42268,0.42571,0.4271,0.42298,0.41703,0.44098,0.44253,0.44512,0.42329,0.45023,0.43646,0.42948,0.42791,0.42986
386,0.51347,0.50784,0.50835,0.48545,0.48768,0.48454,0.48413,0.48187,0.49188,0.49901,0.49513,0.49018,0.5042,0.51595,0.50944,0.49391,0.49614,0.50829,0.51012,0.50984,0.48542,0.45431,0.47563,0.48021,0.48203,0.48649,0.48517,0.49175,0.4911,0.53719,0.53222,0.53349,0.48756,0.49185,0.49914,0.50495,0.50797,0.51047,0.42178,0.4188,0.42131,0.42304,0.41873,0.41248,0.43649,0.43788,0.44015,0.41865,0.44598,0.432,0.42502,0.42316,0.42528
387,0.50785,0.50257,0.50312,0.48026,0.48217,0.47907,0.47864,0.47634,0.48667,0.49354,0.48949,0.48493,0.49852,0.5105,0.5038,0.48853,0.49054,0.50259,0.50526,0.50484,0.48047,0.44937,0.4705,0.47515,0.47719,0.48138,0.48045,0.4869,0.48596,0.53207,0.52725,0.52822,0.48264,0.48683,0.49413,0.49992,0.50364,0.50563,0.41731,0.41491,0.41686,0.41887,0.41447,0.40795,0.43172,0.43307,0.43552,0.41393,0.44137,0.42726,0.42025,0.4189,0.42085
388,0.50279,0.49784,0.4982,0.47547,0.47727,0.47395,0.47374,0.47148,0.48197,0.48852,0.4846,0.48001,0.49356,0.50545,0.49875,0.4834,0.48564,0.49739,0.5008,0.50044,0.47611,0.44503,0.46638,0.47076,0.47272,0.47705,0.47604,0.48248,0.48152,0.52744,0.52247,0.52352,0.47798,0.48221,0.48933,0.49563,0.49897,0.50099,0.41277,0.41119,0.41251,0.41511,0.41077,0.40391,0.42746,0.42865,0.43121,0.40965,0.43748,0.42299,0.41601,0.41451,0.41644
389,0.4976,0.49287,0.49334,0.47036,0.47208,0.46898,0.46876,0.46642,0.47699,0.48339,0.47952,0.47497,0.48834,0.50052,0.49395,0.47832,0.48061,0.49231,0.49629,0.49591,0.47167,0.44071,0.46187,0.46633,0.46851,0.47259,0.47127,0.47779,0.47688,0.52279,0.51779,0.51868,0.47346,0.47744,0.48463,0.49088,0.49448,0.49664,0.40883,0.40772,0.40869,0.41159,0.40683,0.39984,0.42291,0.42446,0.42679,0.40533,0.43327,0.41886,0.41198,0.41019,0.41222
