longdeonda,P1 ,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18
380,0.275124,0.224551,0.333961,0.372892,0.245496,0.267878,0.254513,0.284823,0.27849,0.253911,0.276034,0.256244,0.259169,0.279407,0.264733,0.274868,0.28121,0.236483
381,0.262734,0.215139,0.321574,0.360571,0.234586,0.25544,0.243838,0.273158,0.265777,0.242469,0.264176,0.243383,0.247708,0.267405,0.253269,0.261793,0.266424,0.224342
382,0.250179,0.203963,0.307201,0.347087,0.221849,0.240761,0.23204,0.260425,0.253742,0.230501,0.251418,0.230828,0.237296,0.254998,0.241917,0.250442,0.254373,0.214412
383,0.239308,0.196419,0.295741,0.335768,0.212944,0.233018,0.221869,0.249776,0.243285,0.219657,0.241428,0.217239,0.227931,0.246071,0.229961,0.24108,0.240502,0.204814
384,0.226777,0.18303,0.284939,0.322212,0.199167,0.219326,0.210133,0.235255,0.231515,0.206252,0.228499,0.203761,0.214288,0.233194,0.21883,0.228595,0.227371,0.192903
385,0.211953,0.171419,0.269203,0.305317,0.184262,0.205158,0.195901,0.220232,0.215388,0.192449,0.213576,0.188483,0.200563,0.217847,0.205575,0.214657,0.211476,0.179508
386,0.203155,0.164356,0.260015,0.295922,0.176437,0.196764,0.187542,0.21151,0.206785,0.184062,0.205248,0.179281,0.192441,0.209587,0.197305,0.206652,0.201729,0.17228
387,0.194634,0.157522,0.251347,0.287203,0.168518,0.188774,0.179673,0.203042,0.199021,0.176143,0.197179,0.170347,0.184692,0.201347,0.189776,0.198621,0.193141,0.164755
388,0.187124,0.151439,0.243294,0.278883,0.161647,0.181729,0.172859,0.195704,0.191834,0.16905,0.189737,0.162592,0.177893,0.194221,0.182623,0.192113,0.18468,0.158476
389,0.179978,0.145823,0.235739,0.271182,0.155007,0.174915,0.165802,0.188614,0.18444,0.162249,0.183067,0.15509,0.171119,0.187381,0.17593,0.185414,0.17713,0.15236
390,0.173784,0.141002,0.22856,0.26398,0.149067,0.168924,0.160412,0.18261,0.178548,0.156545,0.177063,0.149156,0.165404,0.18122,0.170318,0.179733,0.17025,0.147144
391,0.167406,0.13601,0.22184,0.257051,0.143428,0.16303,0.154281,0.176066,0.172772,0.150956,0.170703,0.142416,0.159887,0.175398,0.16441,0.173737,0.163839,0.141652
392,0.161613,0.131463,0.215478,0.250386,0.138307,0.157282,0.148783,0.170494,0.166978,0.145668,0.165487,0.136836,0.154341,0.169851,0.159007,0.168748,0.157482,0.136651
393,0.156079,0.127018,0.209459,0.244166,0.133359,0.152453,0.144169,0.164712,0.162229,0.140641,0.160383,0.131357,0.149268,0.164644,0.154126,0.163774,0.15172,0.132044
